gender,senior_citizen,partner,dependents,tenure,contract_type,payment_method,paperless_billing,internet_service,online_security,tech_support,streaming_tv,streaming_movies,monthly_charges,total_charges,churn,gender_label,contract_label,payment_label,internet_label,churn_label
0,0,1,1,6,0,3,0,1,0,0,1,0,71.41,416.53,1,Female,Month-to-month,Credit card (automatic),DSL,Yes
1,0,1,0,7,0,0,0,1,0,1,1,0,69.6,464.53,0,Male,Month-to-month,Electronic check,DSL,No
0,0,0,0,60,0,3,1,1,1,1,0,0,69.17,3958.85,1,Female,Month-to-month,Credit card (automatic),DSL,Yes
0,1,0,0,1,2,0,0,1,1,1,0,1,78.26,77.59,0,Female,Two year,Electronic check,DSL,No
0,0,1,0,22,0,0,1,1,0,0,1,0,59.28,1307.13,1,Female,Month-to-month,Electronic check,DSL,Yes
1,0,1,1,27,1,1,0,1,1,0,1,0,69.72,1796.16,0,Male,One year,Mailed check,DSL,No
0,1,0,0,16,1,1,0,2,0,1,0,0,85.18,1307.39,1,Female,One year,Mailed check,Fiber optic,Yes
0,0,0,1,28,1,0,1,1,0,0,1,1,76.68,2060.61,0,Female,One year,Electronic check,DSL,No
0,1,1,0,4,0,1,1,0,0,0,0,0,20.0,81.35,1,Female,Month-to-month,Mailed check,No,Yes
1,1,1,1,45,0,3,0,1,0,0,0,0,59.14,2608.02,0,Male,Month-to-month,Credit card (automatic),DSL,No
0,0,1,0,3,0,1,1,2,0,0,0,1,82.69,249.62,0,Female,Month-to-month,Mailed check,Fiber optic,No
0,1,1,1,12,0,1,0,2,0,1,1,1,104.69,1202.72,0,Female,Month-to-month,Mailed check,Fiber optic,No
0,0,0,0,1,2,0,1,2,0,1,1,0,89.94,93.47,0,Female,Two year,Electronic check,Fiber optic,No
0,0,0,0,18,2,3,0,2,1,1,0,1,99.95,1763.92,0,Female,Two year,Credit card (automatic),Fiber optic,No
1,0,1,1,26,0,0,1,1,1,0,1,1,82.08,2193.45,1,Male,Month-to-month,Electronic check,DSL,Yes
0,1,1,0,68,2,1,1,1,1,1,0,0,68.19,4788.41,0,Female,Two year,Mailed check,DSL,No
1,0,0,0,32,0,0,1,0,0,0,0,0,22.83,766.2,0,Male,Month-to-month,Electronic check,No,No
1,0,0,1,18,1,3,1,2,0,0,0,1,79.73,1469.73,0,Male,One year,Credit card (automatic),Fiber optic,No
1,0,1,0,64,0,0,1,1,1,0,1,1,65.49,4167.39,0,Male,Month-to-month,Electronic check,DSL,No
0,0,0,0,15,1,1,1,2,0,1,0,1,83.02,1202.04,1,Female,One year,Mailed check,Fiber optic,Yes
1,0,0,0,19,0,1,0,1,1,1,0,0,65.07,1180.43,0,Male,Month-to-month,Mailed check,DSL,No
0,0,0,1,21,0,3,0,1,1,1,0,1,78.68,1716.1,0,Female,Month-to-month,Credit card (automatic),DSL,No
